Strategy,Symbol,Trades,Wins,Losses,WinRate,TotalPnL%,AvgPnL%,MaxDD%,Sharpe,Best%,Worst%
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,13.3773,0.9769,1.1000,0.8251,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,13.3773,0.9769,1.1000,0.8251,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,13.3773,0.9769,1.1000,0.8251,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,9.0707,0.6769,0.8000,0.5570,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,9.0707,0.6769,0.8000,0.5570,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,9.0707,0.6769,0.8000,0.5570,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,6.8569,0.5154,1.1000,0.5596,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,6.8569,0.5154,1.1000,0.5596,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,10,3,0.7692,6.8569,0.5154,1.1000,0.5596,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,6,7,0.4615,5.4549,0.4154,1.7892,0.3639,1.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,6,7,0.4615,5.4549,0.4154,1.7892,0.3639,1.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,6,7,0.4615,5.4549,0.4154,1.7892,0.3639,1.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,11,2,0.8462,4.4649,0.3385,1.1000,0.5302,0.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,11,2,0.8462,4.4649,0.3385,1.1000,0.5302,0.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,11,2,0.8462,4.4649,0.3385,1.1000,0.5302,0.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,4.0382,1.0000,0.8000,0.8333,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,4.0382,1.0000,0.8000,0.8333,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,4.0382,1.0000,0.8000,0.8333,1.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,4.0230,0.3077,0.8000,0.3376,1.0000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,4.0230,0.3077,0.8000,0.3376,1.0000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,4.0230,0.3077,0.8000,0.3376,1.0000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,3.9786,0.3077,3.1618,0.2471,1.6000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,3.9786,0.3077,3.1618,0.2471,1.6000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,3.9786,0.3077,3.1618,0.2471,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,3.7236,0.9250,1.1000,0.6852,1.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,3.7236,0.9250,1.1000,0.6852,1.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,3.7236,0.9250,1.1000,0.6852,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,3.5811,0.2396,4.3279,0.2379,1.0000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,3.5811,0.2396,4.3279,0.2379,1.0000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,10,5,0.6667,3.5811,0.2396,4.3279,0.2379,1.0000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,3.5230,0.2396,5.3803,0.1774,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,3.5230,0.2396,5.3803,0.1774,1.6000,-1.1000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,3.5230,0.2396,5.3803,0.1774,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,7,6,0.5385,3.4113,0.2615,1.7892,0.3150,1.0000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,7,6,0.5385,3.4113,0.2615,1.7892,0.3150,1.0000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,7,6,0.5385,3.4113,0.2615,1.7892,0.3150,1.0000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,9,6,0.6000,3.2875,0.2196,3.1618,0.2463,1.0000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,9,6,0.6000,3.2875,0.2196,3.1618,0.2463,1.0000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,9,6,0.6000,3.2875,0.2196,3.1618,0.2463,1.0000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,7,8,0.4667,3.2434,0.2196,3.9365,0.1848,1.6000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,7,8,0.4667,3.2434,0.2196,3.9365,0.1848,1.6000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,7,8,0.4667,3.2434,0.2196,3.9365,0.1848,1.6000,-0.8000
TrendFollowingStrategy,DOGEUSDT,13,5,8,0.3846,3.1715,0.2462,2.3785,0.2210,1.6000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,5,8,0.3846,3.1715,0.2462,2.3785,0.2210,1.6000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,5,8,0.3846,3.1715,0.2462,2.3785,0.2210,1.6000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,3.1665,0.2909,3.1618,0.2321,1.6000,-0.8000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,3.1665,0.2909,3.1618,0.2321,1.6000,-0.8000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,3.1665,0.2909,3.1618,0.2321,1.6000,-0.8000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,2.8872,0.1929,2.5819,0.2410,1.0000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,2.8872,0.1929,2.5819,0.2410,1.0000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,8,7,0.5333,2.8872,0.1929,2.5819,0.2410,1.0000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,6,9,0.4000,2.6486,0.1796,4.1252,0.1703,1.6000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,6,9,0.4000,2.6486,0.1796,4.1252,0.1703,1.6000,-0.6000
TrendFollowingStrategy,XRPUSDT,15,6,9,0.4000,2.6486,0.1796,4.1252,0.1703,1.6000,-0.6000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,2.4119,0.6000,0.6000,0.7500,1.0000,-0.6000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,2.4119,0.6000,0.6000,0.7500,1.0000,-0.6000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,2.4119,0.6000,0.6000,0.7500,1.0000,-0.6000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,2.3827,0.3429,2.3785,0.2916,1.6000,-0.6000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,2.3827,0.3429,2.3785,0.2916,1.6000,-0.6000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,2.3827,0.3429,2.3785,0.2916,1.6000,-0.6000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,2.2059,0.5500,0.8000,0.6111,1.0000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,2.2059,0.5500,0.8000,0.6111,1.0000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,2.2059,0.5500,0.8000,0.6111,1.0000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,2.2059,0.5500,0.8000,0.6111,1.0000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,2.2059,0.5500,0.8000,0.6111,1.0000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,2.2059,0.5500,0.8000,0.6111,1.0000,-0.8000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,2.2002,0.2769,1.6785,0.2740,1.0000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,9,4,0.6923,2.1947,0.1692,1.2059,0.2516,0.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,9,4,0.6923,2.1947,0.1692,1.2059,0.2516,0.6000,-0.8000
TrendFollowingStrategy,ETHUSDT,13,9,4,0.6923,2.1947,0.1692,1.2059,0.2516,0.6000,-0.8000
TrendFollowingStrategy,AVAXUSDT,11,4,7,0.3636,2.1597,0.2000,2.3785,0.1802,1.6000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,4,7,0.3636,2.1597,0.2000,2.3785,0.1802,1.6000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,4,7,0.3636,2.1597,0.2000,2.3785,0.1802,1.6000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,2.1597,0.2000,2.0032,0.1802,1.6000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,2.1597,0.2000,2.0032,0.1802,1.6000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,2.1597,0.2000,2.0032,0.1802,1.6000,-0.6000
MeanReversionStrategy,ETHUSDT,4,2,2,0.5000,1.9906,0.5000,1.1964,0.3936,1.6000,-0.6000
MeanReversionStrategy,ETHUSDT,4,2,2,0.5000,1.9906,0.5000,1.1964,0.3936,1.6000,-0.6000
MeanReversionStrategy,ETHUSDT,4,2,2,0.5000,1.9906,0.5000,1.1964,0.3936,1.6000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,1.9733,0.1818,3.1618,0.1934,1.0000,-0.8000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,1.9733,0.1818,3.1618,0.1934,1.0000,-0.8000
TrendFollowingStrategy,AVAXUSDT,11,6,5,0.5455,1.9733,0.1818,3.1618,0.1934,1.0000,-0.8000
TrendFollowingStrategy,SOLUSDT,8,4,4,0.5000,1.9436,0.2500,2.1879,0.1732,1.6000,-1.1000
TrendFollowingStrategy,SOLUSDT,8,4,4,0.5000,1.9436,0.2500,2.1879,0.1732,1.6000,-1.1000
TrendFollowingStrategy,SOLUSDT,8,4,4,0.5000,1.9436,0.2500,2.1879,0.1732,1.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,1.8968,0.4750,1.1000,0.4524,1.0000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,1.8968,0.4750,1.1000,0.4524,1.0000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,1.8968,0.4750,1.1000,0.4524,1.0000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,1.8968,0.4750,1.1000,0.4524,1.0000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,1.8968,0.4750,1.1000,0.4524,1.0000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,1.8968,0.4750,1.1000,0.4524,1.0000,-1.1000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,1.7973,0.1462,4.3279,0.1043,1.6000,-1.1000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,1.7973,0.1462,4.3279,0.1043,1.6000,-1.1000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,1.7973,0.1462,4.3279,0.1043,1.6000,-1.1000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,1.7925,0.1385,1.7928,0.2279,0.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,1.7925,0.1385,1.7928,0.2279,0.6000,-0.6000
TrendFollowingStrategy,ETHUSDT,13,8,5,0.6154,1.7925,0.1385,1.7928,0.2279,0.6000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,1.7731,0.1385,2.3785,0.1668,1.0000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,1.7731,0.1385,2.3785,0.1668,1.0000,-0.6000
TrendFollowingStrategy,DOGEUSDT,13,6,7,0.4615,1.7731,0.1385,2.3785,0.1668,1.0000,-0.6000
TrendFollowingStrategy,SOLUSDT,8,3,5,0.3750,1.7684,0.2250,1.1964,0.1976,1.6000,-0.6000
TrendFollowingStrategy,SOLUSDT,8,3,5,0.3750,1.7684,0.2250,1.1964,0.1976,1.6000,-0.6000
TrendFollowingStrategy,SOLUSDT,8,3,5,0.3750,1.7684,0.2250,1.1964,0.1976,1.6000,-0.6000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,1.6707,0.2125,2.1879,0.1955,1.0000,-1.1000
TrendFollowingStrategy,BTCUSDT,8,5,3,0.6250,1.6707,0.2125,2.1879,0.1955,1.0000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,2,2,0.5000,1.5806,0.4000,1.5936,0.2887,1.6000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,2,2,0.5000,1.5806,0.4000,1.5936,0.2887,1.6000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,2,2,0.5000,1.5806,0.4000,1.5936,0.2887,1.6000,-0.8000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,1.5612,0.2286,3.1618,0.1782,1.6000,-0.8000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,1.5612,0.2286,3.1618,0.1782,1.6000,-0.8000
MeanReversionStrategy,MATICUSDT,7,3,4,0.4286,1.5612,0.2286,3.1618,0.1782,1.6000,-0.8000
MeanReversionStrategy,SOLUSDT,6,3,3,0.5000,1.4542,0.2500,3.2638,0.1691,1.6000,-1.1000
MeanReversionStrategy,SOLUSDT,6,3,3,0.5000,1.4542,0.2500,3.2638,0.1691,1.6000,-1.1000
MeanReversionStrategy,SOLUSDT,6,3,3,0.5000,1.4542,0.2500,3.2638,0.1691,1.6000,-1.1000
TrendFollowingStrategy,BTCUSDT,8,4,4,0.5000,1.4362,0.1857,2.2910,0.1436,1.6000,-1.1000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,1.3737,0.1273,2.3785,0.1523,1.0000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,1.3737,0.1273,2.3785,0.1523,1.0000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,1.3737,0.1273,2.3785,0.1523,1.0000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,5,6,0.4545,1.3737,0.1273,1.7892,0.1523,1.0000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,5,6,0.4545,1.3737,0.1273,1.7892,0.1523,1.0000,-0.6000
TrendFollowingStrategy,LINKUSDT,11,5,6,0.4545,1.3737,0.1273,1.7892,0.1523,1.0000,-0.6000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,1.3086,0.1273,4.3279,0.0903,1.6000,-1.1000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,1.3086,0.1273,4.3279,0.0903,1.6000,-1.1000
TrendFollowingStrategy,AVAXUSDT,11,5,6,0.4545,1.3086,0.1273,4.3279,0.0903,1.6000,-1.1000
TrendFollowingStrategy,LINKUSDT,11,5,6,0.4545,1.3086,0.1273,3.2638,0.0903,1.6000,-1.1000
TrendFollowingStrategy,LINKUSDT,11,5,6,0.4545,1.3086,0.1273,3.2638,0.0903,1.6000,-1.1000
TrendFollowingStrategy,LINKUSDT,11,5,6,0.4545,1.3086,0.1273,3.2638,0.0903,1.6000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,1.2000,0.3000,0.6000,0.5000,0.6000,-0.6000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,1.2000,0.3000,0.6000,0.5000,0.6000,-0.6000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,1.2000,0.3000,0.6000,0.5000,0.6000,-0.6000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.9963,0.2500,0.8000,0.3571,0.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.9963,0.2500,0.8000,0.3571,0.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.9963,0.2500,0.8000,0.3571,0.6000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,0.9963,0.2500,0.8000,0.3571,0.6000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,0.9963,0.2500,0.8000,0.3571,0.6000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,3,1,0.7500,0.9963,0.2500,0.8000,0.3571,0.6000,-0.8000
MeanReversionStrategy,AVAXUSDT,4,2,2,0.5000,0.9671,0.2500,2.1879,0.1604,1.6000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,2,2,0.5000,0.9671,0.2500,2.1879,0.1604,1.6000,-1.1000
MeanReversionStrategy,AVAXUSDT,4,2,2,0.5000,0.9671,0.2500,2.1879,0.1604,1.6000,-1.1000
MeanReversionStrategy,LINKUSDT,4,2,2,0.5000,0.9671,0.2500,1.1000,0.1604,1.6000,-1.1000
MeanReversionStrategy,LINKUSDT,4,2,2,0.5000,0.9671,0.2500,1.1000,0.1604,1.6000,-1.1000
MeanReversionStrategy,LINKUSDT,4,2,2,0.5000,0.9671,0.2500,1.1000,0.1604,1.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,2,2,0.5000,0.7896,0.2000,1.1964,0.2165,1.0000,-0.6000
MeanReversionStrategy,ETHUSDT,4,2,2,0.5000,0.7896,0.2000,1.1964,0.2165,1.0000,-0.6000
MeanReversionStrategy,ETHUSDT,4,2,2,0.5000,0.7896,0.2000,1.1964,0.2165,1.0000,-0.6000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.7872,0.4000,0.8000,0.2357,1.6000,-0.8000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.7872,0.4000,0.8000,0.2357,1.6000,-0.8000
MeanReversionStrategy,XRPUSDT,2,1,1,0.5000,0.7872,0.4000,0.8000,0.2357,1.6000,-0.8000
TrendFollowingStrategy,MATICUSDT,7,5,2,0.7143,0.7819,0.1143,1.6010,0.1378,0.6000,-1.1000
TrendFollowingStrategy,MATICUSDT,7,5,2,0.7143,0.7819,0.1143,1.6010,0.1378,0.6000,-1.1000
TrendFollowingStrategy,MATICUSDT,7,5,2,0.7143,0.7819,0.1143,1.6010,0.1378,0.6000,-1.1000
MeanReversionStrategy,SOLUSDT,6,2,4,0.3333,0.7704,0.1333,2.3785,0.1174,1.6000,-0.6000
MeanReversionStrategy,SOLUSDT,6,2,4,0.3333,0.7704,0.1333,2.3785,0.1174,1.6000,-0.6000
MeanReversionStrategy,SOLUSDT,6,2,4,0.3333,0.7704,0.1333,2.3785,0.1174,1.6000,-0.6000
TrendFollowingStrategy,BTCUSDT,8,4,4,0.5000,0.7702,0.1000,2.3809,0.1039,1.0000,-0.8000
TrendFollowingStrategy,BTCUSDT,8,4,4,0.5000,0.7702,0.1000,2.3809,0.1039,1.0000,-0.8000
TrendFollowingStrategy,BTCUSDT,8,4,4,0.5000,0.7702,0.1000,2.3809,0.1039,1.0000,-0.8000
TrendFollowingStrategy,SOLUSDT,8,3,5,0.3750,0.7487,0.1000,1.6124,0.0805,1.6000,-0.8000
TrendFollowingStrategy,SOLUSDT,8,3,5,0.3750,0.7487,0.1000,1.6124,0.0805,1.6000,-0.8000
TrendFollowingStrategy,SOLUSDT,8,3,5,0.3750,0.7487,0.1000,1.6124,0.0805,1.6000,-0.8000
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,0.7295,0.0727,3.1803,0.0601,1.6000,-0.8000
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,0.7295,0.0727,3.1803,0.0601,1.6000,-0.8000
TrendFollowingStrategy,LINKUSDT,11,4,7,0.3636,0.7295,0.0727,3.1803,0.0601,1.6000,-0.8000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
MeanReversionStrategy,ETHUSDT,4,3,1,0.7500,0.6909,0.1750,1.1000,0.2059,0.6000,-1.1000
